2020x,2020y,2010x,2010y,2000x,2000y
-10.16678,0.683001,-10.17916,0.683001,-10.15648,0.683001
-0.68566,0.886539,-0.757064,0.886472,-0.659161,0.890516
-0.988249,0.886951,-10.04317,0.886951,-0.96782,0.886951
-0.842731,0.900000,-0.862837,0.900000,-0.824573,0.900000
-10.05874,0.885011,-10.06406,0.885011,-10.04972,0.885011
-0.783673,0.867648,-0.797469,0.881391,-0.772931,0.898779
-0.746061,0.896217,-0.767502,0.896217,-0.725619,0.896217
-0.612755,0.675623,-0.633898,0.692023,-0.589587,0.800000
-0.746853,0.892158,-0.768848,0.892192,-0.727283,0.892334
-0.820224,0.896870,-0.828471,0.896870,-0.811632,0.896870
-0.735711,0.895366,-0.735719,0.895366,-0.728602,0.895366
-0.623163,0.897632,-0.691707,0.897631,-0.597911,0.897632
-0.643358,0.756849,-0.66622,0.754959,-0.625468,0.754265
-0.787981,0.681260,-0.809593,0.795917,-0.777138,0.681260
-0.754517,0.695213,-0.778872,0.695213,-0.74014,0.695213
-0.946755,0.674441,-10.02336,0.673535,-0.916119,0.673541
-10.04799,0.897172,-10.07107,0.897172,-10.03606,0.897172
-0.964176,0.899529,-0.988463,0.899529,-0.951986,0.899529
-0.606109,0.518257,-0.629389,0.509029,-0.587966,0.507857
-10.03098,0.889452,-10.05544,0.889452,-10.01885,0.889452
-0.569601,0.824503,-0.592152,0.831286,-0.548089,0.891085
-0.699155,0.881253,-0.721695,0.881253,-0.679579,0.681253
-0.52446,0.846210,-0.545673,0.844199,-0.50283,0.870731
-0.629073,0.575322,-0.649737,0.570974,-0.613787,0.750706
-0.729531,0.894144,-0.804617,0.894144,-0.699549,0.894144
-0.744856,0.547996,-0.769501,0.644476,-0.728365,0.567869
-0.88355,0.894407,-0.967098,0.894295,-0.843514,0.895475
-0.757535,0.891931,-0.766486,0.891931,-0.749799,0.891931
-0.551708,0.670904,-0.577387,0.670904,-0.53793,0.670904
-0.758722,0.503981,-0.781693,0.503879,-0.738964,0.502021
-0.916609,0.311069,-0.941543,0.328088,-0.900103,0.318392
-0.722482,0.283237,-0.746091,0.283973,-0.703562,0.279608
-0.753811,0.863503,-0.776759,0.883175,-0.739138,0.886823
-0.986458,0.897776,-10.00413,0.897776,-0.97636,0.897776
-0.574432,0.882361,-0.640135,0.882544,-0.550512,0.886155
-0.790547,0.788563,-0.816918,0.789500,-0.778773,0.788563
-0.606134,0.864286,-0.630201,0.863854,-0.587507,0.863809
-0.788763,0.794611,-0.861917,0.794660,-0.761724,0.794988
-10.07129,0.889933,-10.11862,0.889933,-10.05352,0.889933
-0.98133,0.649064,-0.988317,0.649843,-0.973778,0.654069
-0.863281,0.895646,-0.943216,0.895646,-0.828214,0.895647
-0.664848,0.866372,-0.689916,0.866212,-0.644578,0.867533
-0.646443,0.894298,-0.658797,0.894306,-0.63901,0.894289
-0.927908,0.899974,-0.94222,0.899978,-0.920111,0.899973
-0.78055,0.789586,-0.807979,0.789521,-0.763452,0.790072
-0.748006,0.270100,-0.772607,0.392800,-0.728418,0.869152
-0.690359,0.864196,-0.711971,0.891644,-0.678342,0.895459
-0.630135,0.683626,-0.644628,0.683964,-0.622657,0.683530
-0.768556,0.890729,-0.841099,0.890169,-0.741853,0.892855
-0.483033,0.358583,-0.508843,0.357411,-0.464644,0.648099
-10.11213,0.689327,-10.12868,0.689327,-10.10337,0.689327
-0.634034,0.636087,-0.661179,0.635621,-0.618391,0.662110
-0.913903,0.895861,-0.963502,0.895861,-0.895989,0.895861
-0.755369,0.859849,-0.834933,0.868557,-0.723767,0.894841
-0.986455,0.675098,-10.01841,0.675098,-0.974035,0.675098
-0.768454,0.812342,-0.849731,0.813602,-0.735767,0.852266
-0.652494,0.762844,-0.680298,0.762873,-0.636818,0.771304
-0.738026,0.777228,-0.765834,0.777228,-0.725399,0.777228
-0.967957,0.898952,-0.995169,0.898952,-0.951857,0.898952
-0.837831,0.887917,-0.927735,0.887917,-0.793843,0.887917
-0.685421,0.884473,-0.761023,0.884751,-0.657875,0.887755
-0.659423,0.847240,-0.676109,0.845176,-0.652501,0.864599
-0.770151,0.816886,-0.79565,0.878938,-0.752014,0.822572
-0.935449,0.692234,-0.956807,0.692234,-0.925131,0.692234
-0.793544,0.719316,-0.878922,0.716898,-0.754862,0.753042
-0.688794,0.788405,-0.709055,0.788405,-0.679365,0.788405
-0.698491,0.898232,-0.766059,0.898232,-0.673877,0.898232
-0.789535,0.896683,-0.861339,0.896683,-0.762979,0.896683
-0.649161,0.762607,-0.681073,0.764276,-0.630099,0.763106
-0.616401,0.436375,-0.646722,0.506148,-0.600202,0.435394
-0.572675,0.884040,-0.602192,0.884072,-0.557467,0.684047
-10.07858,0.688977,-10.13946,0.688977,-10.057,0.688977
-0.83631,0.693434,-0.923354,0.697744,-0.796496,0.697897
-10.08567,0.900000,-10.11439,0.900000,-10.06955,0.900000
-0.70003,0.693599,-0.727492,0.693790,-0.680967,0.693468
-0.625312,0.869378,-0.71178,0.868280,-0.586132,0.882555
-0.945055,0.749903,-0.97437,0.749903,-0.930145,0.649903
-0.923486,0.897496,-0.951694,0.897496,-0.911136,0.897496
-0.719957,0.775607,-0.748465,0.775046,-0.702404,0.790603
-0.998729,0.669799,-10.07464,0.669435,-0.970266,0.669098
-10.02036,0.888779,-10.04992,0.888779,-10.00332,0.888779
-0.786706,0.796235,-0.869262,0.796235,-0.757171,0.796235
-0.67896,0.882699,-0.711104,0.882177,-0.661186,0.882604
-0.718552,0.875236,-0.751491,0.875224,-0.702732,0.875184
-10.01399,0.692921,-10.04004,0.692670,-10.00718,0.692824
-0.619783,0.489097,-0.654801,0.645079,-0.601175,0.699980
-0.753536,0.790951,-0.839748,0.790951,-0.715155,0.790951
-0.448161,0.800000,-0.542972,0.800000,-0.403227,0.800000
-0.733796,0.863691,-0.761686,0.863684,-0.725307,0.863686
-10.00542,0.895296,-10.05165,0.895296,-0.992435,0.895296
-0.863062,0.790920,-0.930751,0.790920,-0.839137,0.790920
-0.97622,0.886692,-10.00724,0.886692,-0.958628,0.886692
-10.07045,0.895607,-10.10142,0.895570,-10.05193,0.896208
-0.922088,0.878989,-0.97304,0.878989,-0.907184,0.878989
-0.949335,0.695005,-0.982304,0.695005,-0.942852,0.695005
-0.631414,0.870531,-0.664015,0.870447,-0.619413,0.871439
-0.951098,0.888922,-0.989416,0.888923,-0.943452,0.888933
-10.02688,0.424770,-10.06226,0.487333,-10.00897,0.529639
-0.804695,0.780472,-0.867562,0.780472,-0.78377,0.780472
-0.918454,0.894175,-0.993905,0.894174,-0.89042,0.894175
-0.931675,0.896796,-10.01451,0.896796,-0.901066,0.896796
-0.851864,0.896565,-0.884668,0.896545,-0.845917,0.896551
-0.617874,0.896030,-0.713058,0.896030,-0.574273,0.896030
-0.951519,0.693047,-0.990183,0.693047,-0.932882,0.693047
-0.818885,0.897242,-0.852173,0.897242,-0.799875,0.897242
-0.960304,0.890659,-10.00653,0.890659,-0.950317,0.890659
-0.807911,0.892546,-0.900478,0.892546,-0.770032,0.892546
-0.885313,0.899976,-0.977411,0.899976,-0.843879,0.899976
-0.583941,0.697663,-0.62216,0.697663,-0.567123,0.697663
-0.979938,0.773207,-10.05394,0.773207,-0.95314,0.773207
-0.652928,0.898775,-0.689402,0.898775,-0.639699,0.898775
-0.859042,0.899561,-0.89213,0.899561,-0.852997,0.899561
-0.90899,0.886737,-0.944137,0.886737,-0.905012,0.886737
-0.704601,0.880765,-0.760919,0.880765,-0.689143,0.880765
-0.670981,0.897436,-0.711949,0.899638,-0.651613,0.899638
-0.983121,0.897978,-10.06624,0.897978,-0.950973,0.897978
-0.484481,0.677295,-0.523564,0.677080,-0.468646,0.677282
-0.747799,0.882902,-0.783189,0.882828,-0.739569,0.888182
-0.734767,0.879007,-0.783731,0.879007,-0.725736,0.879007
-0.722321,0.895399,-0.762343,0.895399,-0.701553,0.895399
-0.88903,0.900000,-0.98321,0.900000,-0.849651,0.900000
-0.914986,0.897885,-0.967932,0.897702,-0.903867,0.899021
-0.905906,0.691996,-0.993675,0.691996,-0.870815,0.691996
-0.805749,0.898612,-0.846138,0.898612,-0.784946,0.898612
-0.689222,0.788339,-0.774291,0.787156,-0.655973,0.797322
-0.483187,0.795834,-0.524508,0.795834,-0.466403,0.795834
-0.753724,0.897416,-0.850605,0.897416,-0.710126,0.897416
-0.64515,0.877916,-0.688502,0.877916,-0.625841,0.877916
-0.633266,0.663166,-0.676351,0.663166,-0.614822,0.663166
-0.819807,0.890394,-0.858133,0.890394,-0.817761,0.890394
-0.961096,0.781735,-10.04919,0.781735,-0.925836,0.781735
-0.724291,0.891646,-0.761958,0.891646,-0.725551,0.891646
-0.717893,0.792201,-0.816458,0.792201,-0.674035,0.792201
-0.903531,0.899407,-10.00391,0.899407,-0.859972,0.899407
-0.497508,0.899938,-0.598134,0.899938,-0.455053,0.899938
-0.658898,0.799999,-0.737415,0.799999,-0.63102,0.799999
-0.703254,0.895124,-0.746402,0.895124,-0.681697,0.895124
-0.727237,0.900000,-0.773538,0.900000,-0.70574,0.900000
-0.662774,0.885637,-0.718854,0.885637,-0.650504,0.885637
-0.882229,0.861434,-0.921156,0.862596,-0.887242,0.879439
-0.753554,0.898501,-0.799898,0.898501,-0.731256,0.898501
-0.7685,0.900000,-0.815212,0.900000,-0.746829,0.900000
-0.820632,0.855202,-0.863652,0.856352,-0.809542,0.896507
-0.838719,0.896838,-0.932464,0.896838,-0.799125,0.896838
-0.522789,0.894709,-0.623952,0.894709,-0.479146,0.894709
-0.593217,0.899279,-0.69534,0.899279,-0.549917,0.899279
-0.586412,0.780507,-0.632681,0.780507,-0.565851,0.780507
-0.752423,0.89915,-0.797625,0.89915,-0.730247,0.89915
-0.586637,0.796922,-0.652374,0.796922,-0.56813,0.796922
-0.738579,0.885366,-0.836856,0.885366,-0.694563,0.885366
-0.520725,0.995572,-0.565025,0.995572,-0.503689,0.995572
-0.691292,0.900000,-0.738707,0.900000,-0.668885,0.900000
-0.870788,0.883354,-0.965641,0.883354,-0.830262,0.883354
-0.668221,0.855111,-0.768218,0.855499,-0.622589,0.896988
-0.403686,0.798543,-0.451052,0.798543,-0.385619,0.798543
-0.955166,0.888159,-0.990551,0.888731,-0.967802,0.892180
-0.901642,0.895650,-0.946932,0.895650,-0.889403,0.895650
-0.697093,0.899987,-0.744228,0.899984,-0.680682,0.899990
-0.529157,0.787798,-0.57982,0.787798,-0.525599,0.787798
-0.895815,0.898563,-0.929677,0.898563,-0.910515,0.898563
-0.728408,0.783458,-0.770632,0.783713,-0.725246,0.795213
-0.737484,0.889436,-0.834811,0.889436,-0.694838,0.889436
-0.666079,0.896582,-0.709837,0.896648,-0.670177,0.896951
-0.756444,0.898215,-0.805892,0.898215,-0.732861,0.898215
-0.75828,0.657399,-0.807573,0.657399,-0.734873,0.657399
-10.06365,0.900000,-10.11261,0.900000,-10.04118,0.900000
-0.702897,0.897602,-0.751514,0.897602,-0.681248,0.897602
-0.598772,0.886955,-0.645947,0.886955,-0.576235,0.886955
-0.698401,0.795422,-0.732408,0.795366,-0.713929,0.795781
-0.42324,0.799927,-0.472769,0.799838,-0.403449,0.799929
-10.08921,0.896925,-10.18893,0.896925,-10.04393,0.896925
-0.772762,0.796561,-0.817503,0.796561,-0.767056,0.796561
-0.609917,0.899997,-0.713589,0.899997,-0.560376,0.899997
-0.703065,0.896748,-0.752858,0.896748,-0.679287,0.896748
-0.967502,0.893147,-10.01703,0.893147,-0.944203,0.893147
-10.00153,0.900000,-10.0438,0.900000,-10.00181,0.900000
-0.889319,0.897269,-0.920101,0.897269,-0.9088,0.897269
-0.542317,0.786901,-0.577166,0.786901,-0.557146,0.786901
-0.923912,0.892377,-0.959758,0.892377,-0.935877,0.892377
-0.756487,0.686855,-0.807503,0.686852,-0.736398,0.695701
-0.515146,0.797264,-0.614489,0.797264,-0.470717,0.797264
-0.770537,0.899544,-0.821378,0.899534,-0.747756,0.900000
0.103382,0.784610,0.073050,0.784610,0.083247,0.784610
-0.718679,0.894663,-0.768633,0.894663,-0.694813,0.894663
-0.738369,0.893925,-0.788733,0.893925,-0.714823,0.893925
-0.125296,0.798077,-0.174325,0.798077,-0.115362,0.798077
-0.794565,0.743802,-0.846421,0.744201,-0.776619,0.843971
-0.538445,0.799676,-0.590419,0.799676,-0.516093,0.799676
-10.00069,0.883845,-10.04049,0.883845,-10.00912,0.883845
-0.348489,0.798702,-0.402836,0.798702,-0.325922,0.798702
-10.00038,0.899992,-10.05284,0.899992,-0.991802,0.899992
-0.770266,0.696401,-0.825416,0.696634,-0.75086,0.696634
-0.771917,0.890101,-0.825702,0.890101,-0.747336,0.890101
-0.754057,0.898061,-0.81136,0.898061,-0.729229,0.898061
-0.932088,0.892144,-0.991911,0.892144,-0.913418,0.892144
-0.695589,0.657145,-0.753129,0.657145,-0.669869,0.657145
-0.733713,0.796387,-0.793551,0.796387,-0.70921,0.796387
-0.404933,0.792605,-0.463077,0.792605,-0.378112,0.792605
-0.915286,0.674953,-0.978856,0.674953,-0.89144,0.674953
-0.542998,0.683774,-0.607041,0.683774,-0.524598,0.683774
